id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5587,51.1419639587,5.1485648155,Inachis io,Aglais io,European Peacock,Insecta,207977
53949,50.3882796,8.8884023,European peacock butterfly,Aglais io,European Peacock,Insecta,207977
54895,50.3601806736,8.9377279258,European peacock butterfly,Aglais io,European Peacock,Insecta,207977
61520,53.5411107205,-2.9341046512,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
66285,52.3915177438,13.0779779061,European peacock butterfly,Aglais io,European Peacock,Insecta,207977
91804,50.726893622,-2.1409606934,European peacock butterfly,Aglais io,European Peacock,Insecta,207977
98221,48.1631922,11.4991566,European peacock butterfly,Aglais io,European Peacock,Insecta,207977
107018,51.4996454287,5.0355105276,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
119952,50.899081,12.885975,European peacock butterfly,Aglais io,European Peacock,Insecta,207977
128166,53.5186391448,-3.0617495622,European peacock butterfly,Aglais io,European Peacock,Insecta,207977
166796,45.1921240399,5.8135914803,Inachis io,Aglais io,European Peacock,Insecta,207977
253988,55.735265,12.562651,Inachis io,Aglais io,European Peacock,Insecta,207977
256466,52.457997,0.171704,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
370509,54.891616,10.309553,European Peacock Butterfly (Aglais io),Aglais io,European Peacock,Insecta,207977
375530,51.82743,-3.098734,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
417364,52.289125,-0.600363,European Peacock Butterfly (Aglais io),Aglais io,European Peacock,Insecta,207977
417366,52.289125,-0.600363,European Peacock Butterfly (Aglais io),Aglais io,European Peacock,Insecta,207977
446174,53.179658,6.450503,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
451020,50.986052,-2.808941,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
553836,45.124649,1.723979,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
566007,45.124649,1.723979,Inachis io,Aglais io,European Peacock,Insecta,207977
566019,45.124649,1.723979,aglais io,Aglais io,European Peacock,Insecta,207977
569207,52.1644,-2.466763,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
583318,46.178137,9.872954,Inachis Io,Aglais io,European Peacock,Insecta,207977
640793,50.667899,-2.332749,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
640924,53.173187,-6.232485,Inachis Io,Aglais io,European Peacock,Insecta,207977
641230,54.989237,-1.603882,European Peacock Butterlfly (Inachis io),Aglais io,European Peacock,Insecta,207977
668730,47.935532,17.410047,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
680201,51.594485,-1.11794,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
699756,48.848481,2.35926,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
743196,42.643669,1.256094,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
743416,54.109512,-1.58186,European Peacock (Inachis io),Aglais io,European Peacock,Insecta,207977
743546,53.535068,-0.962672,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
746018,53.439605,-1.516113,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
747602,53.534354,-0.964045,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
754019,45.422031105,9.0930684317,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
777276,52.33146,-0.182552,European Peacock Butterfly (Aglais io),Aglais io,European Peacock,Insecta,207977
785282,52.1644,-2.466763,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
790019,59.852853,17.455419,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
798728,50.362574,6.451979,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
811909,50.402198,6.433594,peacock (butterfly) (Inachis io),Aglais io,European Peacock,Insecta,207977
812003,50.521231,6.502705,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
822364,40.936554,20.823169,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
823623,56.2503883333,-4.1876833333,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
823734,50.403003,6.434537,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
845540,50.565276,6.408248,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
863860,52.26551,10.535796,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
874414,51.313889,12.466667,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
877214,50.45775,6.4626,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
