id,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
1802,26.0790653229,-80.2776184082,Danaus gilippus berenice,,Insecta,50063
11354,26.0884116734,-80.2780115604,Danaus gilippus,Queen,Insecta,51743
19764,30.129734,-84.144828,Danaus gilippus,Queen,Insecta,51743
38050,26.3403587341,-80.6284103394,Danaus gilippus,Queen,Insecta,51743
38052,26.3455028534,-80.6003723145,Danaus gilippus,Queen,Insecta,51743
74758,27.8625264,-82.1456436,Danaus gilippus berenice,,Insecta,50063
147091,25.142886,-80.924029,Danaus gilippus,Queen,Insecta,51743
149543,28.6475113,-80.7381821,Danaus gilippus,Queen,Insecta,51743
170007,26.8895624,-81.8224362,Danaus gilippus,Queen,Insecta,51743
246388,26.686499,-82.257643,Danaus gilippus,Queen,Insecta,51743
314967,26.889562,-81.822436,Danaus gilippus,Queen,Insecta,51743
318380,24.878261,-80.677071,Danaus gilippus,Queen,Insecta,51743
366811,29.126084,-81.620878,Danaus gilippus,Queen,Insecta,51743
500604,26.56665,-81.69395,Danaus gilippus,Queen,Insecta,51743
504885,25.856946,-81.032474,Danaus gilippus,Queen,Insecta,51743
542185,29.591371,-82.232494,Danaus gilippus,Queen,Insecta,51743
544534,26.610532,-81.075466,Danaus gilippus,Queen,Insecta,51743
759418,28.228608,-80.762794,Danaus gilippus,Queen,Insecta,51743
805574,25.140574,-80.924934,Danaus gilippus,Queen,Insecta,51743
905158,28.569594,-80.997361,Danaus gilippus,Queen,Insecta,51743
905203,28.641164,-80.734433,Danaus gilippus,Queen,Insecta,51743
1118568,27.687423,-82.494036,Danaus gilippus,Queen,Insecta,51743
1148189,26.432725,-80.92758,Danaus gilippus,Queen,Insecta,51743
1153019,25.674171,-80.158209,Danaus gilippus,Queen,Insecta,51743
1410582,27.164085,-80.1823266667,Danaus gilippus,Queen,Insecta,51743
1447281,27.631595,-82.737216,Danaus gilippus,Queen,Insecta,51743
1450909,29.145446,-83.040605,Danaus gilippus,Queen,Insecta,51743
1454451,25.76393,-80.818672,Danaus gilippus,Queen,Insecta,51743
1462821,29.136235,-83.036826,Danaus gilippus,Queen,Insecta,51743
1556979,27.555058,-82.53916,Danaus gilippus,Queen,Insecta,51743
1705819,27.334273,-80.285337,Danaus gilippus,Queen,Insecta,51743
1833437,28.157374,-81.470936,Danaus gilippus,Queen,Insecta,51743
1854208,26.495919,-80.453568,Danaus gilippus,Queen,Insecta,51743
1868001,26.4928139,-80.2168894,Danaus gilippus,Queen,Insecta,51743
1868004,26.4928139,-80.2168894,Danaus gilippus,Queen,Insecta,51743
1911023,28.538336,-81.379236,Danaus gilippus,Queen,Insecta,51743
2328418,28.083397,-80.955244,Danaus gilippus,Queen,Insecta,51743
2563787,28.659242,-81.702554,Danaus gilippus,Queen,Insecta,51743
2615719,26.129244,-80.361339,Danaus gilippus,Queen,Insecta,51743
2615817,26.130782,-80.353575,Danaus gilippus,Queen,Insecta,51743
2623360,28.681415,-80.753694,Danaus gilippus,Queen,Insecta,51743
2646553,26.565049,-80.054837,Danaus gilippus,Queen,Insecta,51743
2711972,26.9156915741,-80.1914290153,Danaus gilippus,Queen,Insecta,51743
2712035,26.127508,-80.36137,Danaus gilippus,Queen,Insecta,51743
3108768,28.0487718181,-80.6604230691,Danaus gilippus,Queen,Insecta,51743
3474883,30.1087945,-83.1386721667,Danaus gilippus,Queen,Insecta,51743
3665990,30.5065191942,-81.4558982849,Danaus gilippus,Queen,Insecta,51743
3738293,28.6096965,-80.6992633,Danaus gilippus,Queen,Insecta,51743
3783958,25.4393272,-80.5063341,Danaus gilippus,Queen,Insecta,51743
3814401,25.8603706537,-80.1824994386,Danaus gilippus,Queen,Insecta,51743
3827728,30.136369938,-84.1546209437,Danaus gilippus,Queen,Insecta,51743
3870855,28.2229187329,-80.7601869106,Danaus gilippus,Queen,Insecta,51743
3947287,28.569356,-80.991492,Danaus gilippus,Queen,Insecta,51743
3947337,28.652008,-81.705459,Danaus gilippus,Queen,Insecta,51743
3995715,28.56335,-81.009321,Danaus gilippus,Queen,Insecta,51743
4017219,28.583749,-81.008248,Danaus gilippus,Queen,Insecta,51743
