"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Fraxinus velutina","2018-09-06 11:24:00 -0700","","Cochise County, AZ, USA",31.8988516667,-109.1622066667,"","velvet ash","https://www.inaturalist.org/observations/16472769","https://static.inaturalist.org/photos/24788882/medium.jpg?1536796912","dpom",16472769,"velvet ash","Plantae",64132,"false",1,0,"2018/09/06 11:24 AM PDT","2018-09-06","2018-09-06 18:24:00 UTC","Pacific Time (US & Canada)",NA,NA,NA,"false","","",NA,16101,"2018-09-13 00:06:31 UTC","2018-09-13 05:36:26 UTC","research","CC-BY-NC",NA,NA,"false"
"Fraxinus velutina","2018-09-07 08:16:00 -0600","","Yavapai County, AZ, USA",34.7275233611,-111.7755918056,"","velvet ash","https://www.inaturalist.org/observations/16468387","https://static.inaturalist.org/photos/24780738/medium.jpg?1536788770","natj15",16468387,"velvet ash","Plantae",64132,"false",1,0,"2018/09/07 8:16 AM MST","2018-09-07","2018-09-07 14:16:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,586370,"2018-09-12 21:52:58 UTC","2018-09-15 06:50:03 UTC","research","CC-BY-NC",NA,NA,"false"
"Fraxinus velutina","2018-09-08 16:30:34 -0600","","Coronado National Forest, Safford, AZ, US",32.667555,-109.7970966667,"","velvet ash","https://www.inaturalist.org/observations/16339781","https://static.inaturalist.org/photos/24556420/medium.jpg?1536455211","mccreedy",16339781,"velvet ash","Plantae",64132,"false",1,0,"Sat Sep 08 2018 16:30:34 GMT-0700 (MST)","2018-09-08","2018-09-08 22:30:34 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,758510,"2018-09-09 01:06:00 UTC","2018-09-09 01:31:54 UTC","research","",NA,3,"false"
"Fraxinus velutina","2017-05-17 12:51:00 -0500","","Arizpe, Son., México",30.5762431396,-110.2229993729,"","velvet ash","https://www.inaturalist.org/observations/16325646","https://static.inaturalist.org/photos/24526977/medium.jpeg?1536428370","najera",16325646,"Fraxinus velutina","Plantae",64132,"false",1,0,"2017/05/17 12:51 PM CDT","2017-05-17","2017-05-17 17:51:00 UTC","Central Time (US & Canada)",357,NA,NA,"false","","",NA,17401,"2018-09-08 18:04:50 UTC","2018-09-09 06:56:25 UTC","research","CC-BY-NC-SA",NA,NA,"false"
"Fraxinus velutina","2018-08-26 14:52:17 -0700","","Twentynine Palms, CA 92277, USA",34.0771064758,-116.1453323364,"","velvet ash","https://www.inaturalist.org/observations/15927034","https://static.inaturalist.org/photos/23826376/medium.jpeg?1535324757","wildgifts",15927034,"velvet ash","Plantae",64132,"false",1,0,"2018-08-26 2:52:17 PM PDT","2018-08-26","2018-08-26 21:52:17 UTC","Pacific Time (US & Canada)",NA,NA,NA,"false","gps","gps",NA,798366,"2018-08-26 23:05:52 UTC","2018-08-31 20:41:22 UTC","research","CC-BY-NC",NA,2,"false"
"Fraxinus velutina","2018-08-22 07:51:49 -0600","","Coronado National Forest, Tucson, AZ, US",32.3146083333,-110.8111716667,"","velvet ash","https://www.inaturalist.org/observations/15799491","https://static.inaturalist.org/photos/23613422/medium.jpg?1534987045","mmnat",15799491,"velvet ash","Plantae",64132,"false",1,0,"Wed Aug 22 2018 07:51:49 GMT-0700 (MST)","2018-08-22","2018-08-22 13:51:49 UTC","Mountain Time (US & Canada)",5,NA,NA,"false","","",NA,11480,"2018-08-23 01:17:24 UTC","2018-08-23 14:32:02 UTC","research","",NA,3,"false"
"Fraxinus velutina","2018-08-14 14:14:09 -0600","","Zion National Park, Springdale, UT, US",37.270875,-112.9382783333,"","velvet ash","https://www.inaturalist.org/observations/15641834","https://static.inaturalist.org/photos/23369643/medium.jpg?1534626429","rynaturalist",15641834,"velvet ash","Plantae",64132,"false",2,0,"Tue Aug 14 2018 14:14:09 GMT-0600 (MDT)","2018-08-14","2018-08-14 20:14:09 UTC","Mountain Time (US & Canada)",32,NA,NA,"false","","",NA,340222,"2018-08-18 21:07:05 UTC","2018-09-05 21:25:33 UTC","research","CC-BY-NC",NA,3,"false"
"Fraxinus velutina","2018-08-12 10:01:00 -0600","","Sycamore Canyon Wilderness, AZ, USA",34.87219,-112.0695883333,"Arizona, Yavapai Co., Sycamore Wilderness","velvet ash","https://www.inaturalist.org/observations/15621428","https://static.inaturalist.org/photos/23348700/medium.jpeg?1534606750","mjplagens",15621428,"velvet ash","Plantae",64132,"false",1,0,"2018/08/12 10:01 AM MST","2018-08-12","2018-08-12 16:01:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,375489,"2018-08-18 15:40:20 UTC","2018-08-18 16:48:56 UTC","research","CC-BY-NC",NA,NA,"false"
"Fraxinus velutina","2018-08-06 09:40:00 -0700","The deciduous tree was massive, and it had many smooth, silvery branches. The serrated, compound leaves had triangular ends, and the winged seed pods were also hanging in large clusters. These were common in the savanna-like Riparian Forest.","Washington County, UT, USA",37.2854944407,-112.9479730137,"","velvet ash","https://www.inaturalist.org/observations/15403461","https://static.inaturalist.org/photos/23043792/medium.jpeg?1534130137","diego4nature",15403461,"velvet ash","Plantae",64132,"false",2,0,"2018/08/06 9:40 AM PDT","2018-08-06","2018-08-06 16:40:00 UTC","Pacific Time (US & Canada)",1,NA,NA,"false","","",NA,427782,"2018-08-13 23:12:57 UTC","2018-09-18 17:43:34 UTC","research","CC-BY-NC",NA,NA,"false"
"Fraxinus velutina","2018-08-06 09:36:00 -0700","The deciduous tree was very tall, and it had many smooth, silvery branches. The serrated, compound leaves had triangular ends, and the winged seed pods were also hanging in clusters. These were common in the savanna-like Riparian Forest.","Washington County, UT, USA",37.285223241,-112.9473314523,"","velvet ash","https://www.inaturalist.org/observations/15403458","https://static.inaturalist.org/photos/23043439/medium.jpeg?1534129784","diego4nature",15403458,"velvet ash","Plantae",64132,"false",1,0,"2018/08/06 9:36 AM PDT","2018-08-06","2018-08-06 16:36:00 UTC","Pacific Time (US & Canada)",2,NA,NA,"false","","",NA,427782,"2018-08-13 23:12:55 UTC","2018-09-10 17:02:03 UTC","research","CC-BY-NC",NA,NA,"false"
