id,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
45081,30.523969655,-84.3531829119,Limenitis archippus,Viceroy,Insecta,58586
151656,27.4989278,-82.5748194,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
166224,26.3747111,-81.6036148,Limenitis archippus,Viceroy,Insecta,58586
169676,25.7565374,-80.7661737,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
442010,26.570419,-81.826266,Limenitis archippus,Viceroy,Insecta,58586
501133,26.649549,-81.687963,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
642194,25.779334,-80.845299,Limenitis archippus,Viceroy,Insecta,58586
642196,25.765112,-80.830193,Limenitis archippus,Viceroy,Insecta,58586
707971,27.984575,-81.859265,Limenitis archippus,Viceroy,Insecta,58586
755742,29.831862,-81.265885,Limenitis archippus,Viceroy,Insecta,58586
900293,29.209197,-82.033574,Limenitis archippus,Viceroy,Insecta,58586
905135,28.576569,-80.996446,Limenitis archippus,Viceroy,Insecta,58586
914439,28.6848666667,-80.6990583333,Limenitis archippus,Viceroy,Insecta,58586
1100052,25.286616,-80.898651,Limenitis archippus,Viceroy,Insecta,58586
1160274,28.53121061,-81.48435214,Limenitis archippus,Viceroy,Insecta,58586
1309677,27.839199,-82.598362,Limenitis archippus,Viceroy,Insecta,58586
1342114,25.382835,-80.605463,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
1523993,25.76149,-80.82701,Limenitis archippus,Viceroy,Insecta,58586
1575626,26.995091,-82.182611,Limenitis archippus,Viceroy,Insecta,58586
1645423,26.69985,-82.000687,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
1787315,26.869865,-80.256672,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
1810142,28.663215,-81.334394,Limenitis archippus,Viceroy,Insecta,58586
2010426,26.572,-81.82556,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
2337728,25.286616,-80.898651,Limenitis archippus,Viceroy,Insecta,58586
2653684,25.3821566667,-80.6057016667,Limenitis archippus,Viceroy,Insecta,58586
2689679,27.441135,-81.284419,Limenitis archippus,Viceroy,Insecta,58586
2689784,27.589507,-81.019492,Limenitis archippus,Viceroy,Insecta,58586
2747657,26.91568,-80.191135,Limenitis archippus,Viceroy,Insecta,58586
3323591,29.74577192,-83.34279183,Limenitis archippus,Viceroy,Insecta,58586
3341453,25.382684,-80.607177,Limenitis archippus,Viceroy,Insecta,58586
3359865,25.745545,-80.766388,Limenitis archippus,Viceroy,Insecta,58586
3464859,30.1007385,-84.2067992,Limenitis archippus,Viceroy,Insecta,58586
3518789,28.6412498238,-80.7352101803,Limenitis archippus,Viceroy,Insecta,58586
3682682,28.2008577356,-81.6315078735,Limenitis archippus,Viceroy,Insecta,58586
3688087,27.8325487671,-81.1449337006,Limenitis archippus,Viceroy,Insecta,58586
3738290,28.6707084606,-81.5995788574,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
3827832,27.950575,-82.4571776,Limenitis archippus,Viceroy,Insecta,58586
3848401,26.3743333333,-81.6075,Limenitis archippus,Viceroy,Insecta,58586
3911880,28.3996702807,-81.5990129673,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
3931760,30.4745811183,-84.1809797284,Limenitis archippus,Viceroy,Insecta,58586
3968071,28.572009,-80.996532,Limenitis archippus,Viceroy,Insecta,58586
