"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Papilio multicaudata","2018-09-25 14:52:00 -0500","Papilio multicaudata, P. rutilus o P. glaucus? Seen from restaurant porch. I identified as P. multicaudata based on narrow black stripes on forewing, much narrower than the yellow stripes. Also, this is the only one of the three similar species that is common (or present) in Mexico City.","UNIVERSUM, Ciudad Universitaria, Ciudad de México, CDMX, México",19.311094681,-99.1805485772,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16972616","https://static.inaturalist.org/photos/25657056/medium.jpeg?1538074488","oliverkomar",16972616,"xochiquetzal","Insecta",68263,"false",1,0,"2018/09/25 2:52 PM CST","2018-09-25","2018-09-25 19:52:00 UTC","Central Time (US & Canada)",15,NA,NA,"false","","",NA,553511,"2018-09-27 19:05:13 UTC","2018-09-27 19:33:20 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2018-09-27 12:15:56 -0500","","Chihuahuan Desert Research Institute, 43869 TX-118, Fort Davis, TX 79734, USA",30.54038467,-103.83731387,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16972521","https://static.inaturalist.org/photos/25657430/medium.jpeg?1538074882","tatiana0605",16972521,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"2018-09-27 12:15:56 PM CDT","2018-09-27","2018-09-27 17:15:56 UTC","Central Time (US & Canada)",7,NA,NA,"false","","",NA,443967,"2018-09-27 19:01:13 UTC","2018-09-27 19:30:44 UTC","research","",NA,2,"false"
"Papilio multicaudata","2018-09-26 14:32:34 -0500","","The University of Texas at San Antonio, San Antonio, TX, US",29.58382,-98.61767,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16955946","https://static.inaturalist.org/photos/25629614/medium.jpg?1538025736","puj125",16955946,"Two-tailed Swallowtail","Insecta",68263,"false",3,0,"Wed Sep 26 2018 14:32:34 GMT-0500 (CDT)","2018-09-26","2018-09-26 19:32:34 UTC","Central Time (US & Canada)",6,NA,NA,"false","","",NA,1167996,"2018-09-27 05:21:49 UTC","2018-09-27 16:46:06 UTC","research","CC-BY-NC",NA,3,"false"
"Papilio multicaudata","2018-09-26 09:28:00 -0700","","Parque Nacional Bosque del Pedregal, Ciudad de México, CDMX, Mexico",19.2934913197,-99.1982837114,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16955843","https://static.inaturalist.org/photos/25629465/medium.jpg?1538025171","loarie",16955843,"Two-tailed Swallowtail","Insecta",68263,"false",3,0,"2018/09/26 9:28 AM PDT","2018-09-26","2018-09-26 16:28:00 UTC","Pacific Time (US & Canada)",375,NA,NA,"false","","",NA,477,"2018-09-27 05:13:35 UTC","2018-09-27 13:26:09 UTC","research","CC0",NA,NA,"false"
"Papilio multicaudata","2018-09-26 11:57:20 -0500","","Travis County, US-TX, US",30.27154629,-97.77577959,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16939029","https://static.inaturalist.org/photos/25598846/medium.jpeg?1537986120","gstclair",16939029,"Two-tailed Swallowtail","Insecta",68263,"false",2,0,"2018-09-26 11:57:20 AM CDT","2018-09-26","2018-09-26 16:57:20 UTC","Central Time (US & Canada)",129,NA,NA,"false","gps","gps",NA,203860,"2018-09-26 18:21:39 UTC","2018-09-27 02:36:17 UTC","research","CC-BY-NC",NA,2,"false"
"Papilio multicaudata","2018-09-26 11:48:34 -0500","","Texas State University, San Marcos, TX, US",29.8887333333,-97.9450383333,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16936164","https://static.inaturalist.org/photos/25594224/medium.jpg?1537980630","cteseny",16936164,"Two-tailed Swallowtail","Insecta",68263,"false",2,0,"Wed Sep 26 2018 11:48:34 GMT-0500 (CDT)","2018-09-26","2018-09-26 16:48:34 UTC","Central Time (US & Canada)",5,NA,NA,"false","","",NA,749154,"2018-09-26 16:50:19 UTC","2018-09-27 04:00:28 UTC","research","",NA,3,"false"
"Papilio multicaudata","2018-09-19 12:54:39 -0500","It’s in the middle 
","12118 N Interstate 35, Austin, TX, US",30.392495,-97.672845,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16914117","https://static.inaturalist.org/photos/25554825/medium.jpg?1537910290","dherd",16914117,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"Wed Sep 19 2018 12:54:39 GMT-0500 (CDT)","2018-09-19","2018-09-19 17:54:39 UTC","Central Time (US & Canada)",165,NA,NA,"false","","",NA,394806,"2018-09-25 21:17:53 UTC","2018-09-27 02:08:23 UTC","research","",NA,3,"false"
"Papilio multicaudata multicaudata","2018-09-24 11:15:00 -0500","","Parque Nacional Bosque del Pedregal, Ciudad de México, CDMX, México",19.2875491001,-99.2095776368,"","","https://www.inaturalist.org/observations/16913841","https://static.inaturalist.org/photos/25554094/medium.jpeg?1537909489","bodofzt",16913841,"Papilio multicaudata multicaudata","Insecta",237647,"false",1,0,"2018/09/24 11:15 AM CDT","2018-09-24","2018-09-24 16:15:00 UTC","Central Time (US & Canada)",NA,NA,NA,"false","","",NA,318516,"2018-09-25 21:09:32 UTC","2018-09-25 21:34:27 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2016-07-23 12:19:00 UTC","","Coconino County, AZ, USA",34.9480833333,-111.7543416667,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16889809","https://static.inaturalist.org/photos/25514853/medium.jpeg?1537839352","michireyes",16889809,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"2016/07/23 12:19 PM UTC","2016-07-23","2016-07-23 12:19:00 UTC","UTC",10,NA,NA,"false","","",NA,1209206,"2018-09-25 01:37:30 UTC","2018-09-25 02:02:15 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2018-09-21 16:41:35 -0500","","Castillo de Chapultepec, Mexico City, CDMX, MX",19.4207833333,-99.1814116667,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/16888175","https://static.inaturalist.org/photos/25511704/medium.jpg?1537835324","sofinita",16888175,"xochiquetzal","Insecta",68263,"false",3,0,"Fri Sep 21 2018 16:41:35 GMT-0500 (CDT)","2018-09-21","2018-09-21 21:41:35 UTC","Central Time (US & Canada)",0,NA,NA,"false","","",NA,149292,"2018-09-25 00:28:37 UTC","2018-09-25 17:21:56 UTC","research","CC-BY-NC",NA,3,"false"
