"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Platanus wrightii","2018-09-25 13:12:16 -0600","","Montezuma Castle National Monument, Camp Verde, AZ, US",34.6116242428,-111.8398569458,"","Arizona sycamore","https://www.inaturalist.org/observations/16912276","https://static.inaturalist.org/photos/25554541/medium.jpg?1537909952","kkerner",16912276,"Arizona sycamore","Plantae",167031,"false",1,0,"Tue Sep 25 2018 13:12:16 GMT-0700 (MST)","2018-09-25","2018-09-25 19:12:16 UTC","Mountain Time (US & Canada)",12,NA,NA,"false","","",NA,1138395,"2018-09-25 20:15:22 UTC","2018-09-26 02:54:14 UTC","research","",NA,3,"false"
"Platanus wrightii","2018-09-15 15:41:00 -0600","","27000 S Florida Canyon Rd, Green Valley, AZ 85614, USA",31.76119213,-110.84500966,"","Arizona sycamore","https://www.inaturalist.org/observations/16569005","https://static.inaturalist.org/photos/24953616/medium.jpeg?1537051344","sammydominguez",16569005,"Arizona sycamore","Plantae",167031,"false",1,0,"2018-09-15 3:41:00 PM MST","2018-09-15","2018-09-15 21:41:00 UTC","Mountain Time (US & Canada)",3,NA,NA,"false","","",NA,1211338,"2018-09-15 22:41:28 UTC","2018-09-15 23:01:03 UTC","research","",NA,2,"false"
"Platanus wrightii","2018-09-15 12:41:00 -0600","Along Florida Creek
","27000 S Florida Canyon Rd, Green Valley, AZ 85614, USA",31.76120488,-110.84499102,"","Arizona sycamore","https://www.inaturalist.org/observations/16563924","https://static.inaturalist.org/photos/24944459/medium.jpeg?1537042608","gavinlehr",16563924,"Arizona sycamore","Plantae",167031,"false",1,0,"2018-09-15 12:41:00 PM MST","2018-09-15","2018-09-15 18:41:00 UTC","Mountain Time (US & Canada)",10,NA,NA,"false","","",NA,1207613,"2018-09-15 20:16:40 UTC","2018-09-15 22:53:40 UTC","research","",NA,2,"false"
"Platanus wrightii","2018-09-03 10:54:00 -0700","","Sierra Vista, AZ, USA",31.4574077208,-110.3723781481,"","Arizona sycamore","https://www.inaturalist.org/observations/16461945","https://static.inaturalist.org/photos/24774753/medium.jpeg?1536782581","dpom",16461945,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/09/03 10:54 AM PDT","2018-09-03","2018-09-03 17:54:00 UTC","Pacific Time (US & Canada)",122,NA,NA,"false","","",NA,16101,"2018-09-12 20:19:28 UTC","2018-09-12 23:01:16 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-09-02 06:38:00 -0700","","Pima County, AZ, USA",31.737265089,-110.884331656,"","Arizona sycamore","https://www.inaturalist.org/observations/16458450","https://static.inaturalist.org/photos/24768929/medium.jpeg?1536776645","dpom",16458450,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/09/02 6:38 AM PDT","2018-09-02","2018-09-02 13:38:00 UTC","Pacific Time (US & Canada)",31,NA,NA,"false","","",NA,16101,"2018-09-12 18:29:29 UTC","2018-09-12 18:31:39 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-09-07 08:21:00 -0600","Dry Beaver Creek","Yavapai County, AZ, USA",34.7270917778,-111.7761996389,"","Arizona sycamore","https://www.inaturalist.org/observations/16392381","https://static.inaturalist.org/photos/24653919/medium.jpg?1536597380","natj15",16392381,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/09/07 8:21 AM MST","2018-09-07","2018-09-07 14:21:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,586370,"2018-09-10 16:38:52 UTC","2018-09-10 21:04:59 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-09-02 11:44:00 -0700","Pinal County, Arizona, US","60 - Roadside pullout (Pinal County)",33.309285,-111.0625633333,"Arizona Sycamore (Platanus wrightii)","Arizona sycamore","https://www.inaturalist.org/observations/16328995","https://static.inaturalist.org/photos/24535081/medium.jpg?1536435383","finatic",16328995,"Arizona Sycamore","Plantae",167031,"false",1,0,"2018/09/02 11:44 AM PDT","2018-09-02","2018-09-02 18:44:00 UTC","Pacific Time (US & Canada)",NA,NA,NA,"false","","",NA,10285,"2018-09-08 19:38:23 UTC","2018-09-09 01:09:12 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-08-23 18:12:08 -0600","","Casas Grandes, Casas Grandes, CHIH, MX",30.00688055,-108.5573366667,"","Arizona sycamore","https://www.inaturalist.org/observations/15943964","https://static.inaturalist.org/photos/23858078/medium.jpg?1535378231","rubenjaenc",15943964,"Sicómoro de Arizona","Plantae",167031,"false",2,0,"Thu Aug 23 2018 18:12:08 GMT-0600 (GMT-6)","2018-08-23","2018-08-24 00:12:08 UTC","Central America",12,NA,NA,"false","","",NA,1165008,"2018-08-27 13:57:09 UTC","2018-08-31 17:31:08 UTC","research","",NA,3,"false"
"Platanus wrightii","2018-08-12 11:32:00 -0600","","Sycamore Canyon Wilderness, Arizona, United States",34.882015,-112.069815,"Arizona, Sycamore Wilderness, Yavapai Co.","Arizona sycamore","https://www.inaturalist.org/observations/15632338","https://static.inaturalist.org/photos/23361093/medium.jpg?1534618490","mjplagens",15632338,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/08/12 11:32 AM MST","2018-08-12","2018-08-12 17:32:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,375489,"2018-08-18 18:59:13 UTC","2018-08-18 19:47:19 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-08-07 09:47:00 -0700","","Cochise County, AZ, USA",31.8743596259,-109.1825738563,"","Arizona sycamore","https://www.inaturalist.org/observations/15537144","https://static.inaturalist.org/photos/23269428/medium.jpg?1534479343","hfabian",15537144,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/08/07 9:47 AM PDT","2018-08-07","2018-08-07 16:47:00 UTC","Pacific Time (US & Canada)",122,NA,NA,"false","","",NA,3342,"2018-08-17 04:16:04 UTC","2018-08-17 04:33:17 UTC","research","",NA,NA,"false"
