"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Quercus chrysolepis","2018-01-06 15:02:45 -0800","","Santa Rosa, CA 95404, USA",38.3615817763,-122.5993759185,"","canyon live oak","https://www.inaturalist.org/observations/9390500","https://static.inaturalist.org/photos/12759470/medium.jpeg?1515306121","cjs041",9390500,"canyon live oak","Plantae",51092,"false",1,0,"2018-01-06 3:02:45 PM PST","2018-01-06","2018-01-06 23:02:45 UTC","Pacific Time (US & Canada)",172,"","","false","gps","gps",NA,333666,"2018-01-07 06:21:58 UTC","2018-01-07 17:14:17 UTC","research","CC-BY-NC",2,"false"
"Quercus chrysolepis","2017-12-25 11:37:32 -0800","","Palomar Mountain, CA 92060, USA",33.3444328308,-116.9021148682,"","canyon live oak","https://www.inaturalist.org/observations/9365935","https://static.inaturalist.org/photos/12716562/medium.jpeg?1515099861","dmh0716",9365935,"canyon live oak","Plantae",51092,"false",1,0,"2017-12-25 11:37:32 AM PST","2017-12-25","2017-12-25 19:37:32 UTC","Pacific Time (US & Canada)",NA,"","","false","gps","gps",NA,46738,"2018-01-04 21:04:19 UTC","2018-01-04 22:04:34 UTC","research","CC-BY-NC",2,"false"
"Quercus chrysolepis","2018-01-02 11:21:08 -0800","Circumference 211cm","Placer County, Tahoe National Forest, US-CA, US",39.19455923,-120.76992737,"","canyon live oak","https://www.inaturalist.org/observations/9349854","https://static.inaturalist.org/photos/12688648/medium.jpeg?1514942542","dwright",9349854,"canyon live oak","Plantae",51092,"false",1,0,"2018-01-02 11:21:08 AM PST","2018-01-02","2018-01-02 19:21:08 UTC","Pacific Time (US & Canada)",10,"","","false","","",NA,1806,"2018-01-03 01:22:20 UTC","2018-01-06 23:34:05 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2018-01-01 10:46:52 -0800","Northside Trail","Fairfax, CA  94930, Fairfax, CA, US",37.9316728047,-122.5841036365,"","canyon live oak","https://www.inaturalist.org/observations/9334296","https://static.inaturalist.org/photos/12663284/medium.jpg?1514832498","matt160",9334296,"canyon live oak","Plantae",51092,"false",1,0,"Mon Jan 01 2018 10:46:52 GMT-0800 (PST)","2018-01-01","2018-01-01 18:46:52 UTC","Pacific Time (US & Canada)",8,"","","false","","",NA,536329,"2018-01-01 18:48:14 UTC","2018-01-01 19:51:43 UTC","research","",3,"false"
"Quercus chrysolepis","2017-12-26 14:15:00 -0800","","Alamo, CA, USA",37.8498491198,-121.9380283356,"","canyon live oak","https://www.inaturalist.org/observations/9326384","https://static.inaturalist.org/photos/12648905/medium.jpeg?1514763647","cedric_lee",9326384,"Canyon live oak","Plantae",51092,"false",1,0,"2017/12/26 2:15 PM PST","2017-12-26","2017-12-26 22:15:00 UTC","Pacific Time (US & Canada)",401,"","","false","","",NA,12809,"2018-01-01 00:12:39 UTC","2018-01-01 02:27:29 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-12-27 11:02:19 -0800","","Pacific Crest Trail, Julian, CA 92036, USA",32.944229126,-116.4876861572,"","canyon live oak","https://www.inaturalist.org/observations/9324582","https://static.inaturalist.org/photos/12645657/medium.jpeg?1514754015","dmh0716",9324582,"canyon live oak","Plantae",51092,"false",1,0,"2017-12-27 11:02:19 AM PST","2017-12-27","2017-12-27 19:02:19 UTC","Pacific Time (US & Canada)",NA,"","","false","gps","gps",NA,46738,"2017-12-31 21:00:12 UTC","2018-01-01 17:52:27 UTC","research","CC-BY-NC",2,"false"
"Quercus chrysolepis","2017-12-28 13:49:00 -0800","Unknown gall on Canyon live oak","Contra Costa County, CA, USA",37.8821701126,-121.9109916687,"","canyon live oak","https://www.inaturalist.org/observations/9299616","https://static.inaturalist.org/photos/12609341/medium.jpeg?1514596086","mmarchiano",9299616,"canyon live oak","Plantae",51092,"false",1,0,"2017/12/28 1:49 PM PST","2017-12-28","2017-12-28 21:49:00 UTC","Pacific Time (US & Canada)",289,"","","false","","",NA,947,"2017-12-30 01:11:31 UTC","2017-12-30 16:10:03 UTC","research","CC0",NA,"false"
"Quercus chrysolepis","2017-05-28 11:56:00 -0700","","Orange, Cleveland National Forest, California, United States",33.718125,-117.5499616667,"","canyon live oak","https://www.inaturalist.org/observations/9291002","https://static.inaturalist.org/photos/12594841/medium.jpeg?1514519118","silversea_starsong",9291002,"canyon live oak","Plantae",51092,"false",2,0,"2017/05/28 11:56 AM PDT","2017-05-28","2017-05-28 18:56:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,6971,"2017-12-29 04:04:49 UTC","2017-12-29 17:57:59 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-12-25 13:00:45 -0800","","Mount Diablo State Park, Clayton, CA, US",37.9054133333,-121.921875,"","canyon live oak","https://www.inaturalist.org/observations/9261587","https://static.inaturalist.org/photos/12544123/medium.jpg?1514253118","oddirt",9261587,"canyon live oak","Plantae",51092,"false",1,0,"Mon Dec 25 2017 13:00:45 GMT-0800 (PST)","2017-12-25","2017-12-25 21:00:45 UTC","Pacific Time (US & Canada)",16,"","","false","","",NA,347228,"2017-12-26 01:51:21 UTC","2018-01-01 21:35:19 UTC","research","CC-BY-NC",3,"false"
"Quercus chrysolepis","2017-12-22 14:40:18 -0800","Tenaya Canyon above Mirror Lake","Yosemite National Park, Yosemite National Park, CA, US",37.7550616667,-119.5456783333,"","canyon live oak","https://www.inaturalist.org/observations/9247675","https://static.inaturalist.org/photos/12520395/medium.jpg?1514098270","sleach67",9247675,"canyon live oak","Plantae",51092,"false",1,0,"Fri Dec 22 2017 14:40:18 GMT-0800 (PST)","2017-12-22","2017-12-22 22:40:18 UTC","Pacific Time (US & Canada)",10,"","","false","","",NA,63735,"2017-12-24 06:51:04 UTC","2017-12-25 16:44:12 UTC","research","CC-BY-NC",3,"false"
"Quercus chrysolepis","2017-12-23 12:03:18 -0800","","Mount Diablo State Park, Clayton, CA, US",37.8481416667,-121.929145,"","canyon live oak","https://www.inaturalist.org/observations/9245405","https://static.inaturalist.org/photos/12516287/medium.jpg?1514077180","catchang",9245405,"canyon live oak","Plantae",51092,"false",1,0,"Sat Dec 23 2017 12:03:18 GMT-0800 (PST)","2017-12-23","2017-12-23 20:03:18 UTC","Pacific Time (US & Canada)",16,"","","false","","",NA,179103,"2017-12-24 00:59:33 UTC","2017-12-27 05:03:05 UTC","research","CC-BY-NC",3,"false"
"Quercus chrysolepis","2017-07-02 09:20:00 -0700","","San Diego County, CA, USA",33.3412466667,-116.9018366667,"","canyon live oak","https://www.inaturalist.org/observations/9231240","https://static.inaturalist.org/photos/12493456/medium.jpeg?1513926485","silversea_starsong",9231240,"Canyon live oak","Plantae",51092,"false",1,0,"2017/07/02 9:20 AM PDT","2017-07-02","2017-07-02 16:20:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,6971,"2017-12-22 07:08:58 UTC","2017-12-22 17:15:35 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-12-20 19:37:00 -0800","","Idyllwild-Pine Cove, CA, USA",33.7520600933,-116.7209762335,"","canyon live oak","https://www.inaturalist.org/observations/9230826","https://static.inaturalist.org/photos/12492647/medium.jpeg?1513920331","silversea_starsong",9230826,"Canyon live oak","Plantae",51092,"false",1,0,"2017/12/20 7:37 PM PST","2017-12-20","2017-12-21 03:37:00 UTC","Pacific Time (US & Canada)",8,"","","false","","",NA,6971,"2017-12-22 05:40:12 UTC","2018-01-06 20:15:50 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2010-09-16 16:32:00 -0700","Some haggard old live oaks right on the water at Statelin Pt.  Best seen by kayak","Crystal Bay, NV, USA",39.2209916003,-120.0020098687,"","canyon live oak","https://www.inaturalist.org/observations/9019555","https://static.inaturalist.org/photos/12163717/medium.jpg?1512244008","twillrichardson",9019555,"canyon live oak","Plantae",51092,"false",1,0,"2010/09/16 4:32 PM PDT","2010-09-16","2010-09-16 23:32:00 UTC","Pacific Time (US & Canada)",34,"","","false","","",NA,224597,"2017-12-02 19:48:24 UTC","2017-12-11 23:49:26 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-11-29 13:20:44 -0800","","Angeles National Forest, La Cañada Flintridge, CA, US",34.2434283333,-118.101075,"","canyon live oak","https://www.inaturalist.org/observations/9003282","https://static.inaturalist.org/photos/12135952/medium.jpg?1512093769","katydouglass",9003282,"canyon live oak","Plantae",51092,"false",1,0,"Wed Nov 29 2017 13:20:44 GMT-0800 (PST)","2017-11-29","2017-11-29 21:20:44 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,617181,"2017-12-01 02:02:45 UTC","2017-12-01 03:32:10 UTC","research","",3,"false"
"Quercus chrysolepis","2017-11-28 15:26:00 -0800","","Contra Costa County, CA, USA",37.8808236877,-121.9161844254,"","canyon live oak","https://www.inaturalist.org/observations/8975557","https://static.inaturalist.org/photos/12105189/medium.jpeg?1511937600","hfabian",8975557,"canyon live oak","Plantae",51092,"false",1,0,"2017/11/28 3:26 PM PST","2017-11-28","2017-11-28 23:26:00 UTC","Pacific Time (US & Canada)",15,"","","false","","",NA,3342,"2017-11-29 06:40:36 UTC","2017-11-29 09:18:29 UTC","research","",NA,"false"
"Quercus chrysolepis","2017-11-19 09:17:00 -0800","","Butte, California, United States",39.8133433333,-121.7224233333,"Canyon Live Oak, Fagaceae, Quercus chrysolepis, acorn","canyon live oak","https://www.inaturalist.org/observations/8903322","https://static.inaturalist.org/photos/11981822/medium.jpg?1511403560","twr61",8903322,"canyon live oak","Plantae",51092,"false",1,0,"2017/11/19 9:17 AM PST","2017-11-19","2017-11-19 17:17:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,304764,"2017-11-23 02:22:56 UTC","2018-01-02 18:56:00 UTC","research","CC-BY-ND",NA,"false"
"Quercus chrysolepis","2017-11-18 12:06:00 -0800","","Plumas, Lassen National Forest, California, United States",40.03011,-121.3019416667,"Canyon Live Oak, Fagaceae, Quercus chrysolepis","canyon live oak","https://www.inaturalist.org/observations/8893150","https://static.inaturalist.org/photos/11964441/medium.jpg?1511321494","twr61",8893150,"canyon live oak","Plantae",51092,"false",1,0,"2017/11/18 12:06 PM PST","2017-11-18","2017-11-18 20:06:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,304764,"2017-11-22 03:56:24 UTC","2017-11-22 04:21:46 UTC","research","CC-BY-ND",NA,"false"
"Quercus chrysolepis","2017-11-18 10:43:00 -0800","Shrubby form of Q. chrysolepis in area burned by Storrie Fire in 2000.","Plumas, Plumas National Forest, California, United States",40.018905,-121.2823833333,"Canyon Live Oak, Fagaceae, Quercus chrysolepis","canyon live oak","https://www.inaturalist.org/observations/8893141","https://static.inaturalist.org/photos/11964330/medium.jpg?1511321268","twr61",8893141,"canyon live oak","Plantae",51092,"false",2,0,"2017/11/18 10:43 AM PST","2017-11-18","2017-11-18 18:43:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,304764,"2017-11-22 03:56:15 UTC","2017-12-06 00:15:14 UTC","research","CC-BY-ND",NA,"false"
"Quercus chrysolepis","2017-11-18 09:10:00 -0800","","Plumas, Plumas National Forest, California, United States",40.0060216667,-121.266845,"Canyon Live Oak, Fagaceae, Quercus chrysolepis, tree","canyon live oak","https://www.inaturalist.org/observations/8893131","https://static.inaturalist.org/photos/11964253/medium.jpg?1511321067","twr61",8893131,"canyon live oak","Plantae",51092,"false",1,0,"2017/11/18 9:10 AM PST","2017-11-18","2017-11-18 17:10:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,304764,"2017-11-22 03:56:06 UTC","2017-11-22 04:34:07 UTC","research","CC-BY-ND",NA,"false"
"Quercus chrysolepis","2017-11-18 14:19:00 -0800","","Contra Costa County, CA, USA",37.900103726,-121.9137554166,"","canyon live oak","https://www.inaturalist.org/observations/8883348","https://static.inaturalist.org/photos/11947232/medium.jpg?1511243892","leef",8883348,"canyon live oak","Plantae",51092,"false",1,0,"2017/11/18 2:19 PM PST","2017-11-18","2017-11-18 22:19:00 UTC","Pacific Time (US & Canada)",61,"","","false","","",NA,396293,"2017-11-21 06:07:43 UTC","2017-11-21 11:54:22 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-11-19 13:35:03 -0800","Not sure which oak this is. Involucres were all smooth (no rough scales), one of them(pictured) was quite wide. No acorns present. Sorry I didn't get a picture of its form, but it was about 4-5ft tall, about 5 ft wide. I wish I had better/more pics.","Cold Spring Trail, California, USA",34.4887962341,-119.635887146,"","canyon live oak","https://www.inaturalist.org/observations/8875856","https://static.inaturalist.org/photos/11935527/medium.jpeg?1511206186","hufflite",8875856,"canyon live oak","Plantae",51092,"false",1,0,"2017-11-19 1:35:03 PM PST","2017-11-19","2017-11-19 21:35:03 UTC","Pacific Time (US & Canada)",NA,"","","false","gps","gps",NA,589171,"2017-11-20 19:29:43 UTC","2017-11-21 17:03:28 UTC","research","CC-BY-NC",2,"false"
"Quercus chrysolepis","2017-11-19 16:32:26 -0800","Near the top of Little Carson Falls
","Fairfax, CA  94930, Fairfax, CA, US",37.9701633333,-122.6448966667,"","canyon live oak","https://www.inaturalist.org/observations/8867627","https://static.inaturalist.org/photos/11922565/medium.jpg?1511139513","matt160",8867627,"canyon live oak","Plantae",51092,"false",3,0,"Sun Nov 19 2017 16:32:26 GMT-0800 (PST)","2017-11-19","2017-11-20 00:32:26 UTC","Pacific Time (US & Canada)",12,"","","false","","",NA,536329,"2017-11-20 00:57:38 UTC","2017-11-20 16:23:52 UTC","research","",3,"false"
"Quercus chrysolepis","2017-11-15 14:04:00 -0800","","Arcadia, CA, USA",34.3166568,-118.0057774,"","canyon live oak","https://www.inaturalist.org/observations/8842375","https://static.inaturalist.org/photos/11881108/medium.jpeg?1510958691","ilianna",8842375,"canyon live oak","Plantae",51092,"false",1,0,"2017/11/15 2:04 PM PST","2017-11-15","2017-11-15 22:04:00 UTC","Pacific Time (US & Canada)",69949,"","","false","","",NA,610006,"2017-11-17 22:44:56 UTC","2017-11-18 02:29:36 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-11-11 14:03:57 -0800","?","Six Rivers National Forest, Gasquet, CA, US",41.8501583333,-123.9076216667,"","canyon live oak","https://www.inaturalist.org/observations/8781592","https://static.inaturalist.org/photos/11786609/medium.jpg?1510510520","trinanessa",8781592,"canyon live oak","Plantae",51092,"false",1,0,"Sat Nov 11 2017 14:03:57 GMT-0800 (PST)","2017-11-11","2017-11-11 22:03:57 UTC","Pacific Time (US & Canada)",5,"","","false","","",NA,183139,"2017-11-12 18:15:16 UTC","2017-11-13 01:26:55 UTC","research","",3,"false"
"Quercus chrysolepis","2017-11-11 14:39:00 -0800","With a tiny moth-like insect on that I didn't notice until I was processing it.","Shasta County, Shasta-Trinity National Forest, US-CA, US",40.837881224,-122.2455298001,"Shasta County, macro","canyon live oak","https://www.inaturalist.org/observations/8771930","https://static.inaturalist.org/photos/11780003/medium.jpg?1510468886","tiwane",8771930,"canyon live oak","Plantae",51092,"false",1,0,"2017/11/11 2:39 PM PST","2017-11-11","2017-11-11 22:39:00 UTC","Pacific Time (US & Canada)",NA,"Shasta County, CA, USA","obscured","true","","",NA,28,"2017-11-12 06:47:16 UTC","2017-12-28 05:27:13 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-11-11 14:21:15 -0800","","Shasta County, Shasta-Trinity National Forest, US-CA, US",40.8265985997,-122.3806033404,"","canyon live oak","https://www.inaturalist.org/observations/8768889","https://static.inaturalist.org/photos/11775182/medium.jpg?1510449108","tiwane",8768889,"canyon live oak","Plantae",51092,"false",1,0,"Sat Nov 11 2017 14:21:15 GMT-0800 (PST)","2017-11-11","2017-11-11 22:21:15 UTC","Pacific Time (US & Canada)",16,"Whiskeytown-Shasta-Trinity National Recreation Area, Montgomery Creek, CA, US","obscured","true","","",NA,28,"2017-11-12 01:11:43 UTC","2017-12-06 06:42:28 UTC","research","CC-BY-NC",3,"false"
"Quercus chrysolepis","2017-10-30 14:20:00 -0700","Along the trail to Mist Falls, in the Sequoia-Kings Canyon Wilderness, Kings Canyon National Park","Fresno County, CA, USA",36.8068888889,-118.5476666667,"","canyon live oak","https://www.inaturalist.org/observations/8661933","https://static.inaturalist.org/photos/11601468/medium.jpg?1509676142","carolblaney",8661933,"canyon live oak","Plantae",51092,"false",1,0,"2017/10/30 2:20 PM PDT","2017-10-30","2017-10-30 21:20:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,29010,"2017-11-03 02:30:30 UTC","2017-11-03 06:05:29 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-11-01 11:23:50 -0700","","Los Angeles County, US-CA, US",32.8416917101,-118.4255964217,"","canyon live oak","https://www.inaturalist.org/observations/8654984","https://static.inaturalist.org/photos/11589999/medium.jpg?1509638110","vireolanius",8654984,"canyon live oak","Plantae",51092,"false",1,0,"Wed Nov 01 2017 11:23:50 GMT-0700 (PDT)","2017-11-01","2017-11-01 18:23:50 UTC","Pacific Time (US & Canada)",5,"","","false","","",NA,213838,"2017-11-02 15:54:36 UTC","2017-11-04 01:56:58 UTC","research","CC-BY-NC",3,"false"
"Quercus chrysolepis","2017-10-30 14:23:25 -0700","","1101–1153 Martin Rd, Santa Cruz, CA, US",37.0549361667,-122.1396778333,"","canyon live oak","https://www.inaturalist.org/observations/8625869","https://static.inaturalist.org/photos/11542634/medium.jpg?1509419306","leptonia",8625869,"canyon live oak","Plantae",51092,"false",1,0,"Mon Oct 30 2017 14:23:25 GMT-0700 (PDT)","2017-10-30","2017-10-30 21:23:25 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,5179,"2017-10-31 03:07:53 UTC","2017-10-31 04:56:38 UTC","research","CC-BY-NC",3,"false"
"Quercus chrysolepis","2017-10-28 16:12:10 -0700","","Marin County, Golden Gate National Recreation Area, US-CA, US",37.9126304,-122.62459255,"","canyon live oak","https://www.inaturalist.org/observations/8603709","https://static.inaturalist.org/photos/11504846/medium.jpeg?1509306381","clem",8603709,"canyon live oak","Plantae",51092,"false",1,0,"2017-10-28 4:12:10 PM PDT","2017-10-28","2017-10-28 23:12:10 UTC","Pacific Time (US & Canada)",10,NA,NA,"false","","",NA,174643,"2017-10-29 19:46:16 UTC","2017-10-30 03:53:44 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-10-24 14:14:51 -0700","Giant canyon live oak!","Mount Tamalpais State Park, Mill Valley, CA, US",37.9080105806,-122.6161175967,"","canyon live oak","https://www.inaturalist.org/observations/8594627","https://static.inaturalist.org/photos/11488854/medium.jpg?1509238241","dackerly",8594627,"canyon live oak","Plantae",51092,"false",1,0,"Tue Oct 24 2017 14:14:51 GMT-0700 (PDT)","2017-10-24","2017-10-24 21:14:51 UTC","Pacific Time (US & Canada)",5,NA,NA,"false","","",NA,4493,"2017-10-29 00:50:15 UTC","2017-10-29 04:39:10 UTC","research","CC-BY-NC-SA",3,"false"
"Quercus chrysolepis","2017-10-21 14:49:00 -0700","","Monterey County, CA, USA",35.9403249444,-121.4364962222,"","canyon live oak","https://www.inaturalist.org/observations/8541559","https://static.inaturalist.org/photos/11410793/medium.jpg?1508912681","leafybye",8541559,"canyon live oak","Plantae",51092,"false",1,0,"2017/10/21 2:49 PM PDT","2017-10-21","2017-10-21 21:49:00 UTC","Pacific Time (US & Canada)",NA,NA,NA,"false","","",NA,677840,"2017-10-25 06:28:52 UTC","2017-10-26 02:24:35 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-10-22 14:39:00 -0700","","Monterey County, CA, USA",36.0519055556,-121.4961777778,"","canyon live oak","https://www.inaturalist.org/observations/8517409","https://static.inaturalist.org/photos/11369544/medium.jpeg?1508742001","ventanaphile",8517409,"canyon live oak","Plantae",51092,"false",1,0,"2017/10/22 2:39 PM PDT","2017-10-22","2017-10-22 21:39:00 UTC","Pacific Time (US & Canada)",NA,NA,NA,"false","","",NA,272203,"2017-10-23 07:09:56 UTC","2017-10-24 05:23:30 UTC","research","CC-BY-ND",NA,"false"
"Quercus chrysolepis","2017-10-21 17:10:51 -0700","","34890 Yuma Rd, Julian, CA 92036, USA",32.9958915027,-116.578961983,"","canyon live oak","https://www.inaturalist.org/observations/8497763","https://static.inaturalist.org/photos/11335865/medium.jpeg?1508631351","jwparker2",8497763,"canyon live oak","Plantae",51092,"false",1,0,"2017-10-21 5:10:51 PM PDT","2017-10-21","2017-10-22 00:10:51 UTC","Pacific Time (US & Canada)",2752,NA,NA,"false","gps","gps",NA,411515,"2017-10-22 00:15:49 UTC","2017-10-22 22:51:30 UTC","research","CC-BY-NC",2,"false"
"Quercus chrysolepis","2017-10-08 12:50:42 -0700","","Yosemite National Park, Mariposa County, US-CA, US",37.7245202246,-119.544573873,"","canyon live oak","https://www.inaturalist.org/observations/8376125","https://static.inaturalist.org/photos/11138173/medium.jpeg?1507838962","erik-ringle",8376125,"canyon live oak","Plantae",51092,"false",1,0,"2017-10-08 12:50:42 PM PDT","2017-10-08","2017-10-08 19:50:42 UTC","Pacific Time (US & Canada)",172,NA,NA,"false","gps","gps",NA,651965,"2017-10-12 20:09:18 UTC","2017-11-05 16:16:36 UTC","research","",2,"false"
"Quercus chrysolepis","2017-10-10 14:56:00 -0700","","San Diego County, CA, USA",32.898307,-116.469133,"","canyon live oak","https://www.inaturalist.org/observations/8364661","https://static.inaturalist.org/photos/11119570/medium.jpg?1507759001","lagoondon",8364661,"canyon live oak","Plantae",51092,"false",1,0,"2017/10/10 2:56 PM PDT","2017-10-10","2017-10-10 21:56:00 UTC","Pacific Time (US & Canada)",10,NA,NA,"false","","",NA,388712,"2017-10-11 21:57:10 UTC","2017-10-12 15:46:53 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-10-07 10:18:00 -0700","","Kern County, CA, USA",34.9501566667,-118.553215,"","canyon live oak","https://www.inaturalist.org/observations/8353564","https://static.inaturalist.org/photos/11100899/medium.jpeg?1507685747","silversea_starsong",8353564,"Canyon live oak","Plantae",51092,"false",1,0,"2017/10/07 10:18 AM PDT","2017-10-07","2017-10-07 17:18:00 UTC","Pacific Time (US & Canada)",NA,NA,NA,"false","","",NA,6971,"2017-10-11 01:36:14 UTC","2017-12-05 02:30:13 UTC","research","CC-BY-NC",NA,"false"
"Quercus chrysolepis","2017-10-07 08:37:12 -0700","","7011–7055 Alpine Rd, Portola Valley, CA, US",37.3226551907,-122.1887677012,"","canyon live oak","https://www.inaturalist.org/observations/8300710","https://static.inaturalist.org/photos/11017019/medium.jpg?1507409960","gyrrlfalcon",8300710,"canyon live oak","Plantae",51092,"false",1,0,"Sat Oct 07 2017 08:37:12 GMT-0700 (PDT)","2017-10-07","2017-10-07 15:37:12 UTC","Pacific Time (US & Canada)",8,NA,NA,"false","","",NA,8778,"2017-10-07 20:59:10 UTC","2017-10-08 03:05:25 UTC","research","CC-BY-NC",3,"false"
