id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
287697,32.829414,-116.85958,Rumex salicifolius,Rumex salicifolius,willow dock,Plantae,60233
294427,32.8283255,-116.8565297,willow dock,Rumex salicifolius,willow dock,Plantae,60233
328952,38.080744,-122.954865,willow dock (Rumex salicifolius),Rumex salicifolius,willow dock,Plantae,60233
588351,37.793335,-122.455234,willow dock,Rumex salicifolius,willow dock,Plantae,60233
591674,37.829044,-122.534173,willow dock,Rumex salicifolius,willow dock,Plantae,60233
593930,37.793723,-122.455433,willow dock,Rumex salicifolius,willow dock,Plantae,60233
623495,37.829125,-122.5349083333,Rumex salicifolius,Rumex salicifolius,willow dock,Plantae,60233
1558946,38.190233,-122.96446,willow dock,Rumex salicifolius,willow dock,Plantae,60233
1704231,38.11936264,-122.95135344,willow dock,Rumex salicifolius,willow dock,Plantae,60233
2829748,36.49285,-121.209925,willow dock,Rumex salicifolius,willow dock,Plantae,60233
3261496,36.47852,-121.1584861667,willow dock,Rumex salicifolius,willow dock,Plantae,60233
3382896,48.892842,-123.392107,willow dock,Rumex salicifolius,willow dock,Plantae,60233
3543080,49.012789,-123.572556,willow dock,Rumex salicifolius,willow dock,Plantae,60233
4105804,56.2491680596,-134.6475362778,willow dock,Rumex salicifolius,willow dock,Plantae,60233
4434467,34.42344925,-119.88235517,willow dock,Rumex salicifolius,willow dock,Plantae,60233
5812354,37.8046883333,-122.463425,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6165049,37.4499647516,-122.4439275265,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6354483,37.5596,-122.514,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6505118,37.2269555556,-122.4102027778,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6802657,37.1187847452,-122.3159408569,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6948855,52.1515195,-131.1136778333,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6950992,52.3570541445,-131.2648884241,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6951807,52.3537,-131.34735,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6961718,52.3536216667,-131.3478866667,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6963655,52.57772,-131.4385383333,willow dock,Rumex salicifolius,willow dock,Plantae,60233
6989007,37.789920629,-122.4751939998,willow dock,Rumex salicifolius,willow dock,Plantae,60233
7355714,33.5502216667,-117.3835966667,Willow dock,Rumex salicifolius,willow dock,Plantae,60233
7434106,38.1200233401,-122.9558515549,willow dock,Rumex salicifolius,willow dock,Plantae,60233
7435646,33.7935568,-117.4739535,willow dock,Rumex salicifolius,willow dock,Plantae,60233
8090745,33.81196,-116.71911,Rumex salicifolius salicifolius,Rumex salicifolius salicifolius,,Plantae,58989
