id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
100571,"mirror lake, utah",40.7010296419,-110.8894984733,,,false,,,mormon fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
241014,"Wheeler Creek, Ogden, Utah",41.2458571856,-111.8352413177,,,false,,,mormon fritillary (Speyeria mormonia),Speyeria mormonia,Mormon Fritillary,Insecta,68270
347334,"lake blanche, utah",40.606661,-111.691371,100,,false,,,mormon fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
362363,"Steens Mountain Rd, Princeton, Oregon, US",42.72,-118.6261666667,,,false,,,mormon fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
362374,"Steens Mountain Wilderness, Princeton, Oregon, US",42.7008333333,-118.593,,,false,,,mormon fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
803216,"93541, Lee Vining, CA, US",37.953326,-119.22769,359,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
829735,"North Cascades National Park, Skagit County, North Cascades National Park Service Complex, US-WA, US",48.5720166667,-120.852005,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
829737,"North Cascades National Park, North Cascades National Park Service Complex, Chelan County, US-WA, US",48.468199,-121.055913,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
829745,"Chelan County, US-WA, US",48.511547,-120.743988,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
878602,"Lake County, US-CO, US",39.1561888333,-106.53073,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
1343142,"Marlette Lake, Lake Tahoe State Park",39.161812,-119.898434,206,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
1343287,"Mt Dana, Yosemite National Park",37.906461,-119.246603,26,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
1855238,"Mt Rose (North Lake Tahoe, CA)",39.328173,-119.926887,102,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
1868912,"Sagehen Creek, CA",39.431006,-120.237089,51,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
1878156,"Salt Lake, Utah, United States",40.6397416667,-111.6521816667,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
2752882,"Crook County, WY",44.392687,-104.132946,9675,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
2752998,"Crook County, WY",44.392687,-104.132946,9675,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3641194,"Salt Lake, Utah, United States",40.6743766667,-111.6910783333,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3675344,"Manti la Sal National Forest, Moab, UT, US",38.540329244,-109.2705070228,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3740889,"Saddlebag Lake, California 93541, USA",37.9763812,-119.2771114,1129,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3747120,"93541, Lee Vining, CA, US",37.971395,-119.266695,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3748318,"Yosemite National Park, Yosemite Ntl Park, CA, US",37.9094783333,-119.2629916667,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3784449,"Mariposa County, CA, USA",37.75388691,-119.7956085205,488,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3788602,"Salt Lake County, UT, USA",40.5822966667,-111.5988433333,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3847086,United States,39.0375065423,-119.9680828575,,obscured,true,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3881116,"Wyoming, United States",44.785277,-110.443904,,,false,,"",Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3906021,"Pool Table Road, Colorado",37.813359,-106.737261,81,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3962449,"Summit County, CO, USA",39.6541432185,-105.8788061142,241,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
3967464,"Idaho County, ID, USA",45.702343068,-115.8611297607,1953,,false,,,Mormon Fritillary,Speyeria mormonia erinna,,Insecta,238666
4052649,"Grand County, US-UT, US",38.5295570316,-109.2240560242,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4052731,"Salmon-Challis National Forest, Shoup, ID, US",44.82013,-114.422805,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4091589,"Highline Trail, West Glacier, MT, United States",48.744262,-113.7377214,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4197844,"west of Sunrise, Mount Rainier National Park, Pierce County, WA, USA",46.91564,-121.65233,10,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4204848,"Pierce County, WA, USA",46.916561895,-121.6432857513,61,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4274678,"Shell Creek Campground, Big Horn County, WY, United States",44.5502778,-107.5147222,200,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4480680,"Greer, AZ 85927, USA",34.0095187,-109.4585456,768,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4610848,"Pierce County, WA, USA",46.7875137739,-121.71916008,30,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4615131,"Skyline Trail, Ashford, WA, United States",46.7934459,-121.7259879,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
4875009,"Mono County, CA, USA",37.9716,-119.2664555556,,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
5283134,"Summit County, CO, USA",39.3895093308,-106.1166000366,871,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
6987750,"Yosemite National Park, Mariposa County, US-CA, US",37.7511388623,-119.5475905203,10,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7019713,"Jackson County, CO, USA",40.3948817249,-106.1583480856,244,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7199832,"E.C. Manning, CA-BC-FV, CA-BC, CA",49.0494625457,-120.8623160889,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7199985,"E.C. Manning, CA-BC-FV, CA-BC, CA",49.043027591,-120.9127752298,10,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7200012,"E.C. Manning, CA-BC-FV, CA-BC, CA",49.0424472648,-120.9136057235,10,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7257420,"Apache County, AZ, USA",33.9588098724,-109.5139503479,15,,false,,,Speyeria mormonia,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7286036,"Park County, US-MT, US",45.48125969,-110.45999594,9,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7286099,"Park County, US-MT, US",45.48133134,-110.46030514,9,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7292887,"Powell County, US-MT, US",46.3785441639,-112.4481164386,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7327658,"Gilpin County, CO, USA",39.8844502265,-105.6732664543,485,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7371547,"Gallatin National Forest, Gallatin Gateway, MT, US",45.309646452,-111.3549579719,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7378199,"dog lake, brighton",40.588693,-111.583504,216,,false,,,Eurynome Fritillary,Speyeria mormonia eurynome,Eurynome Fritillary,Insecta,238667
7387118,"Apache County, AZ, USA",33.9600201168,-109.5081138611,244,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7411331,"Jackson County, CO, USA",40.5819275177,-106.1493873596,122,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7443399,"Yakima County, US-WA, US",46.9233141002,-121.4550175612,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7443403,"Yakima County, US-WA, US",46.9233458676,-121.4551194013,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7443413,"Yakima County, US-WA, US",46.9233534951,-121.455198778,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7443472,"Yakima County, US-WA, US",46.9234636752,-121.454784209,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7443480,"Yakima County, US-WA, US",46.9236255717,-121.4552952537,5,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7452549,"Alaska Hwy, Destruction Bay, YT, CA",61.2462519334,-138.7931617128,2443,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7489101,"Park County, US-MT, US",45.3730413365,-110.4849561119,22,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Plantae,68270
7584798,"Story, WY, USA",44.566303013,-106.9277429581,31,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7639926,"Salt Lake County, UT, USA",40.5702842142,-111.6956806183,244,,false,,,Eurynome Fritillary,Speyeria mormonia eurynome,Eurynome Fritillary,Insecta,238667
7664602,"Arapaho National Forest, Breckenridge, CO, US",39.3671143836,-106.0685459765,457,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7679110,"Mount Baker National Forest, National Forest/Park, WA, US",48.9125258614,-121.6406562264,11614,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7679116,"NF-32, Deming, WA 98244, USA",48.92179654,-121.64175387,3,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
7688603,"Gallatin County, US-MT, US",45.344088178,-111.3692291268,357,,false,,,Mormon Fritillary,Speyeria mormonia,Mormon Fritillary,Insecta,68270
