id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5277,51.1419639587,5.1485648155,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
5278,51.1419639587,5.1485648155,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
69449,55.7724846824,-4.1272652149,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
98736,55.779541,12.560758,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
134607,50.0832501,8.9198062,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
296319,45.551202,13.900001,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
484031,51.50997,-0.07652,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
608181,43.684658,11.131724,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
692263,52.265446,10.535566,Brennessel,Urtica dioica,stinging nettle,Plantae,51884
746717,53.458736,-1.594464,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
787242,56.975648,-2.195091,Stinging Nettle (Urtica dioica),Urtica dioica,stinging nettle,Plantae,51884
889648,41.894039,13.379971,Urtica dioica,Urtica dioica,stinging nettle,Plantae,51884
889837,50.017791,9.047177,Urtica dioica,Urtica dioica,stinging nettle,Plantae,51884
897352,51.313889,12.466667,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
913649,52.864304,-6.933095,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
1087889,41.88595968,12.46293165,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
1087904,41.88644643,12.46416245,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
1087912,41.88672792,12.46495123,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
1087947,41.88488101,12.46835774,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
1087949,41.88448068,12.46906993,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
1094319,50.924223,4.327869,Stinging Nettle (Urtica dioica),Urtica dioica,stinging nettle,Plantae,51884
1145564,51.554739,-0.712251,Stinging Nettle (Urtica dioica),Urtica dioica,stinging nettle,Plantae,51884
1288300,51.607947,-0.585596,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
1291998,51.4791656,-0.27614127,Urtica dioica,Urtica dioica,stinging nettle,Plantae,51884
1391022,44.2629833333,19.8974783333,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
1443976,44.246247,19.929065,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
1462413,41.876967,2.360019,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
1463251,54.0626721667,-0.3698,Urtica dioica,Urtica dioica,stinging nettle,Plantae,51884
1490147,60.1099577,10.3589193,Slender Nettle (Urtica dioica),Urtica dioica,stinging nettle,Plantae,51884
1490183,52.1644,-2.466763,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
1538077,60.2052,24.6522,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
