"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Heraclides rumiko","2017-09-05 21:44:35 -0700","","1515–1541 Granite Hills Dr, El Cajon, CA, US",32.7852414567,-116.9252142452,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7803988","https://static.inaturalist.org/photos/10262755/medium.jpg?1504673198","chloesalmu",7803988,"Western Giant Swallowtail","Insecta",509627,"false",3,0,"Tue Sep 05 2017 21:44:35 GMT-0700 (PDT)","2017-09-05","2017-09-06 04:44:35 UTC","Pacific Time (US & Canada)",63,"","","false","","",NA,615445,"2017-09-06 04:46:21 UTC","2017-09-07 04:37:02 UTC","research","CC-BY-NC",3,"false"
"Heraclides rumiko","2017-09-05 15:57:44 -0700","","4846–4856 Tecolote Rd, San Diego, CA, US",32.7758833333,-117.1983866667,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7802813","https://static.inaturalist.org/photos/10260801/medium.jpg?1504665228","dean_leavitt",7802813,"Western Giant Swallowtail","Insecta",509627,"false",2,0,"Tue Sep 05 2017 15:57:44 GMT-0700 (PDT)","2017-09-05","2017-09-05 22:57:44 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,25718,"2017-09-06 02:33:06 UTC","2017-09-06 15:49:31 UTC","research","CC-BY-NC",3,"false"
"Heraclides rumiko","2017-09-03 15:51:00 -0500","","Santiago, N.L., México",25.4090533333,-100.1319566667,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7799197","https://static.inaturalist.org/photos/10254499/medium.jpeg?1504648037","pedro_alanis",7799197,"Western Giant Swallowtail","Insecta",509627,"false",2,0,"2017/09/03 3:51 PM CDT","2017-09-03","2017-09-03 20:51:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,61090,"2017-09-05 22:04:21 UTC","2017-09-06 01:56:24 UTC","research","CC-BY-NC",NA,"false"
"Heraclides rumiko","2017-09-04 10:00:00 -0700","One seen landing on willows at small drainage pond.","Hahamongna Watershed Park, North Arroyo, Pasadena, CA, USA",34.1869381472,-118.1731485456,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7790481","https://static.inaturalist.org/photos/10241035/medium.jpeg?1504584429","mickeylong",7790481,"Western Giant Swallowtail","Insecta",509627,"false",1,0,"2017/09/04 10:00 AM PDT","2017-09-04","2017-09-04 17:00:00 UTC","Pacific Time (US & Canada)",114,"","","false","","",NA,38718,"2017-09-05 04:12:32 UTC","2017-09-05 04:16:38 UTC","research","CC-BY-NC",NA,"false"
"Heraclides rumiko","2017-08-13 11:46:00 -0500","","National Butterfly Center, Hidalgo County, TX",26.1794888889,-98.3653333333,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7783459","https://static.inaturalist.org/photos/10229055/medium.jpg?1504558448","ecarpe",7783459,"Western Giant Swallowtail","Insecta",509627,"false",1,0,"2017/08/13 11:46 AM CDT","2017-08-13","2017-08-13 16:46:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,68260,"2017-09-04 20:55:48 UTC","2017-09-06 01:00:10 UTC","research","CC-BY-NC",NA,"false"
"Heraclides rumiko","2017-09-04 11:59:00 -0700","","Arcadia, CA, USA",34.1406033333,-118.0559866667,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7782362","https://static.inaturalist.org/photos/10227185/medium.jpg?1504555749","jmaley",7782362,"Western Giant Swallowtail","Insecta",509627,"false",2,0,"2017/09/04 11:59 AM PDT","2017-09-04","2017-09-04 18:59:00 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,210826,"2017-09-04 20:13:19 UTC","2017-09-05 00:21:30 UTC","research","CC0",NA,"false"
"Heraclides rumiko","2017-09-03 10:16:11 -0700","","1415 E Loma Alta Dr, Altadena, CA, US",34.1948916667,-118.1206445,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7764854","https://static.inaturalist.org/photos/10199327/medium.jpg?1504463713","ocean_beach_goth",7764854,"Western Giant Swallowtail","Insecta",509627,"false",3,0,"Sun Sep 03 2017 10:16:11 GMT-0700 (PDT)","2017-09-03","2017-09-03 17:16:11 UTC","Pacific Time (US & Canada)",NA,"","","false","","",NA,398213,"2017-09-03 18:34:45 UTC","2017-09-04 01:26:49 UTC","research","CC-BY-NC",3,"false"
"Heraclides rumiko","2017-09-01 12:12:00 -0500","","Sin Nombre de Col 51, Monterrey, N.L., Mexico",25.5512897587,-100.2271373824,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7755284","https://static.inaturalist.org/photos/10183776/medium.jpg?1504394006","gerardojuan",7755284,"Mariposa cometa","Insecta",509627,"false",1,0,"2017/09/01 12:12 PM CDT","2017-09-01","2017-09-01 17:12:00 UTC","Central Time (US & Canada)",4,"","","false","","",NA,21826,"2017-09-02 23:21:16 UTC","2017-09-06 12:36:35 UTC","research","CC-BY-NC",NA,"false"
"Heraclides rumiko","2017-09-02 17:56:07 -0500","","Calle Duraznos 1453, Gómez Palacio, DGO, MX",25.5612716667,-103.5118783333,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7754992","https://static.inaturalist.org/photos/10183462/medium.jpg?1504393302","refugio",7754992,"Mariposa cometa","Insecta",509627,"false",1,0,"Sat Sep 02 2017 17:56:07 GMT-0500 (CDT)","2017-09-02","2017-09-02 22:56:07 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,254484,"2017-09-02 23:01:34 UTC","2017-09-04 15:14:41 UTC","research","",3,"false"
"Heraclides rumiko","2010-06-25 00:00:00 +0000","","Sherman Oaks, Los Angeles, CA, USA",34.1647654825,-118.4618210793,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7754479","https://static.inaturalist.org/photos/10182462/medium.jpg?1504391265","lyndae",7754479,"Western Giant Swallowtail","Insecta",509627,"false",2,0,"2010/06/25 11:42 AM UTC","2010-06-25","","UTC",61,"","","false","","",NA,537389,"2017-09-02 22:29:27 UTC","2017-09-04 21:14:47 UTC","research","",NA,"false"
"Heraclides rumiko","2017-09-02 10:13:21 -0700","found already dead in spiderweb in garden","2035 Charlemagne Ave, Long Beach, CA 90815, USA",33.7933158875,-118.1315383911,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7750600","https://static.inaturalist.org/photos/10176260/medium.jpeg?1504372569","joanne36",7750600,"Western Giant Swallowtail","Insecta",509627,"false",2,0,"2017-09-02 10:13:21 AM PDT","2017-09-02","2017-09-02 17:13:21 UTC","Pacific Time (US & Canada)",NA,"","","false","gps","gps",NA,613475,"2017-09-02 17:16:05 UTC","2017-09-05 11:12:22 UTC","research","",NA,"false"
"Heraclides rumiko","2017-09-01 15:36:45 -0600","","490–584 N Norton Ave, Tucson, AZ, US",32.2287742863,-110.9366122247,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7742842","https://static.inaturalist.org/photos/10163331/medium.jpg?1504306335","sonorandelights",7742842,"Western Giant Swallowtail","Insecta",509627,"false",1,0,"Fri Sep 01 2017 15:36:45 GMT-0700 (MST)","2017-09-01","2017-09-01 21:36:45 UTC","Mountain Time (US & Canada)",130,"","","false","","",NA,597767,"2017-09-01 22:52:06 UTC","2017-09-02 04:29:31 UTC","research","CC-BY-NC-SA",3,"false"
"Heraclides rumiko","2017-09-01 11:51:29 -0700","","Los Angeles County, US-CA, US",34.2835895486,-118.6228636266,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7741000","https://static.inaturalist.org/photos/10160228/medium.jpg?1504296674","janeandravenna",7741000,"Western Giant Swallowtail","Insecta",509627,"false",3,0,"Fri Sep 01 2017 11:51:29 GMT-0700 (PDT)","2017-09-01","2017-09-01 18:51:29 UTC","Pacific Time (US & Canada)",NA,"8585 Eatough Ave, Los Angeles, CA, US","obscured","true","","",NA,427570,"2017-09-01 20:11:11 UTC","2017-09-03 23:38:31 UTC","research","",3,"false"
"Heraclides rumiko","2017-09-01 10:24:26 -0700","","531 Turfwood Ln, Solana Beach, CA, US",32.9823692143,-117.2605300696,NA,"Western Giant Swallowtail","https://www.inaturalist.org/observations/7739300","https://static.inaturalist.org/photos/10157323/medium.jpg?1504286713","amarena",7739300,"Western Giant Swallowtail","Insecta",509627,"false",2,0,"Fri Sep 01 2017 10:24:26 GMT-0700 (PDT)","2017-09-01","2017-09-01 17:24:26 UTC","Pacific Time (US & Canada)",5,"","","false","","",NA,50526,"2017-09-01 17:24:57 UTC","2017-09-02 20:23:12 UTC","research","CC-BY-NC",3,"false"
